order_id,order_date,customer_id,product_id,region_id,sales_rep_id,quantity,unit_price,discount,revenue,cost,profit,sales_target
ORD-012023,2023-01-01,CUST-01994,PROD-117,REG-05,EMP-0043,5,444.02,0.2,1776.08,1371.5,404.58,1856.89
ORD-009283,2023-01-01,CUST-02475,PROD-118,REG-02,EMP-0422,6,2603.78,0.0,15622.68,8247.96,7374.72,15575.39
ORD-005022,2023-01-01,CUST-00044,PROD-108,REG-03,EMP-0446,9,4500.0,0.15,34425.0,18000.0,16425.0,35291.75
ORD-005378,2023-01-01,CUST-00607,PROD-127,REG-04,EMP-0296,8,3151.44,0.2,20169.22,17382.4,2786.82,20615.18
ORD-003919,2023-01-01,CUST-00495,PROD-103,REG-04,EMP-0159,1,1200.0,0.05,1140.0,500.0,640.0,1241.83
ORD-009199,2023-01-01,CUST-00871,PROD-120,REG-01,EMP-0043,7,3823.19,0.0,26762.33,15083.53,11678.8,27114.42
ORD-000790,2023-01-01,CUST-01150,PROD-124,REG-03,EMP-0378,12,4203.28,0.2,40351.49,20417.28,19934.21,40468.6
ORD-008774,2023-01-01,CUST-00393,PROD-114,REG-05,EMP-0249,13,893.59,0.15,9874.17,7679.23,2194.94,10227.42
ORD-002986,2023-01-01,CUST-02152,PROD-116,REG-03,EMP-0419,8,765.62,0.1,5512.46,3698.8,1813.66,5833.41
ORD-007967,2023-01-02,CUST-00665,PROD-109,REG-03,EMP-0339,8,3500.0,0.15,23800.0,12000.0,11800.0,23912.53
ORD-000388,2023-01-02,CUST-01717,PROD-120,REG-05,EMP-0351,10,3823.19,0.0,38231.9,21547.9,16684.0,40998.65
ORD-004752,2023-01-02,CUST-02175,PROD-111,REG-02,EMP-0403,4,1400.0,0.15,4760.0,2800.0,1960.0,4719.19
ORD-005657,2023-01-02,CUST-00425,PROD-123,REG-01,EMP-0349,3,4325.0,0.05,12326.25,5671.29,6654.96,11174.6
ORD-004157,2023-01-02,CUST-00708,PROD-111,REG-02,EMP-0101,11,1400.0,0.1,13860.0,7700.0,6160.0,15255.87
ORD-002253,2023-01-02,CUST-01367,PROD-116,REG-01,EMP-0407,4,765.62,0.15,2603.11,1849.4,753.71,2767.99
ORD-010646,2023-01-02,CUST-01142,PROD-127,REG-04,EMP-0160,7,3151.44,0.0,22060.08,15209.6,6850.48,23936.46
ORD-010718,2023-01-02,CUST-01760,PROD-122,REG-03,EMP-0328,13,692.47,0.05,8552.0,5975.97,2576.03,9076.9
ORD-000553,2023-01-02,CUST-01900,PROD-110,REG-04,EMP-0438,10,5000.0,0.05,47500.0,25000.0,22500.0,52350.03
ORD-009316,2023-01-02,CUST-02140,PROD-112,REG-05,EMP-0127,13,2100.0,0.05,25935.0,11700.0,14235.0,26739.06
ORD-003140,2023-01-02,CUST-01679,PROD-113,REG-04,EMP-0444,6,459.73,0.1,2482.54,1620.18,862.36,2795.77
ORD-006714,2023-01-03,CUST-02358,PROD-103,REG-05,EMP-0465,3,1200.0,0.15,3060.0,1500.0,1560.0,2836.52
ORD-006651,2023-01-03,CUST-02144,PROD-122,REG-02,EMP-0372,5,692.47,0.2,2769.88,2298.45,471.43,2718.02
ORD-006579,2023-01-03,CUST-01768,PROD-121,REG-04,EMP-0496,7,1798.33,0.1,11329.48,5620.16,5709.32,12783.91
ORD-005615,2023-01-03,CUST-00264,PROD-119,REG-04,EMP-0065,7,3470.61,0.1,21864.84,17264.87,4599.97,20941.07
ORD-007229,2023-01-03,CUST-01236,PROD-122,REG-02,EMP-0419,9,692.47,0.05,5920.62,4137.21,1783.41,6535.09
